,id,datetime,visitor_id,device_type,revenue,tax
0,1,2019-10-05 00:00:00,1016870803637,1,157.87545286103799,0.19
1,2,2019-10-11 00:00:00,48076008851343,4,262.70519945596766,0.07
2,3,2019-08-19 00:00:00,72300317870324,2,460.6125750226296,0.07
3,4,2019-10-14 00:00:00,84516511452821,3,538.3695989166878,0.19
4,5,2019-09-10 00:00:00,44780848857001,3,610.7610468038221,0.07
5,6,2019-09-20 00:00:00,54145933160851,2,54.15800883534923,0.07
6,7,2019-10-13 00:00:00,68564288760762,4,463.65430422641396,0.19
7,8,2019-10-22 00:00:00,74593067572606,2,152.86751513313544,0.07
8,9,2019-08-12 00:00:00,74912374801029,4,770.7144106028952,0.07
9,10,2019-10-25 00:00:00,67206600864292,4,26.7092008704162,0.07
10,11,2019-10-28 00:00:00,72257448527137,4,304.6928799303863,0.19
11,12,2019-08-16 00:00:00,31161783828987,2,806.9671153163976,0.07
12,13,2019-09-21 00:00:00,74019332491246,3,156.3249729630501,0.07
13,14,2019-10-19 00:00:00,97387717610795,4,610.4940641385712,0.07
14,15,2019-09-03 00:00:00,45101854301536,4,232.75842342671214,0.19
15,16,2019-08-07 00:00:00,39618162285184,4,159.30553503924446,0.19
16,17,2019-09-22 00:00:00,79503222532643,3,237.57698933911246,0.07
17,18,2019-11-01 00:00:00,47711898936813,4,839.3274810235528,0.07
18,19,2019-10-27 00:00:00,27411965646696,3,138.32941728199836,0.07
19,20,2019-09-14 00:00:00,79047396341564,3,623.8650393156212,0.19
20,21,2019-10-19 00:00:00,11315178096070,3,408.052856960506,0.19
21,22,2019-10-16 00:00:00,24012466194495,1,244.61793256499578,0.19
22,23,2019-09-19 00:00:00,17029684917498,1,579.2555358917863,0.07
23,24,2019-09-14 00:00:00,59005300724987,2,16.992126319307815,0.19
24,25,2019-10-23 00:00:00,96729202710375,2,373.4264328161895,0.07
25,26,2019-09-18 00:00:00,13585562094666,2,589.730577862396,0.07
26,27,2019-09-07 00:00:00,51653737316798,2,583.4246286153777,0.07
27,28,2019-09-26 00:00:00,6224970231388,3,698.7542908515118,0.19
28,29,2019-09-06 00:00:00,86017690185412,2,690.756626268171,0.19
29,30,2019-09-05 00:00:00,30526682294845,2,112.66757027523987,0.07
30,31,2019-10-10 00:00:00,52164460431246,2,662.646637589269,0.07
31,32,2019-09-12 00:00:00,2086917030708,1,473.808312844293,0.19
32,33,2019-10-13 00:00:00,55711069540774,2,276.6580183283158,0.07
33,34,2019-08-07 00:00:00,69512920708889,4,144.07184217496967,0.19
34,35,2019-09-22 00:00:00,81079023380836,2,217.93288979153624,0.07
35,36,2019-10-15 00:00:00,43129968770844,2,821.2901597093784,0.19
36,37,2019-10-09 00:00:00,3979029989679,3,438.29695981733886,0.07
37,38,2019-08-11 00:00:00,25662618227295,2,243.41119837815614,0.07
38,39,2019-10-02 00:00:00,84878295639931,2,851.2654432676113,0.07
39,40,2019-08-13 00:00:00,96481967263931,3,424.5994065515623,0.07
40,41,2019-09-01 00:00:00,5912788198719,1,4.674861670296922,0.19
41,42,2019-08-14 00:00:00,56713558605689,4,675.4048661919213,0.19
42,43,2019-08-11 00:00:00,32541817151812,1,300.53535531550324,0.07
43,44,2019-11-01 00:00:00,15363719371717,4,411.7516569855657,0.19
44,45,2019-09-14 00:00:00,47447038460279,1,895.8034447301524,0.07
45,46,2019-09-07 00:00:00,98093108644448,4,514.1390230278386,0.07
46,47,2019-08-19 00:00:00,60505299592873,4,822.87783289641,0.19
47,48,2019-09-22 00:00:00,18151304632325,4,863.8271005124968,0.07
48,49,2019-10-31 00:00:00,49179450419439,2,534.2196011269401,0.07
49,50,2019-08-30 00:00:00,98117926509986,1,535.1619364189014,0.19
50,51,2019-09-17 00:00:00,65247762491065,3,805.4301709804215,0.19
51,52,2019-08-12 00:00:00,54278578539092,3,354.9820362335712,0.19
52,53,2019-08-12 00:00:00,4174132061868,3,45.125566244731246,0.19
53,54,2019-09-07 00:00:00,39041927718356,4,405.80729536876447,0.07
54,55,2019-08-23 00:00:00,49834338770012,4,205.78359569035777,0.07
55,56,2019-08-06 00:00:00,83705422749370,3,207.39698125839226,0.07
56,57,2019-10-20 00:00:00,97378615648630,2,383.4048917751765,0.19
57,58,2019-10-12 00:00:00,51770556649116,1,482.9989728559718,0.19
58,59,2019-10-22 00:00:00,62376855740939,1,496.1382590162816,0.19
